app_name,review_all,sentimen
Ajaib,tidak ribet tidak rewel apk ini toplah,positive
Ajaib,verifikasi sulit sudah menghubungi customer service tapi jawaban yang diberikan asalasalan tidak membantu,negative
Ajaib,yok bisa yok ajaib jadi 1 sekuritas di indonesia,neutral
Ajaib,rekomendasi reksadananya sering insightful buat pemula yang baru mau nabung reksadana,positive
Ajaib,uang day trading tidak masuk,negative
Ajaib,ini tampilan trading kebanyakan iklan dipisah dong yang mana halaman watchlist yang mana halaman khusus berita dan iklan jadi banyak buang waktu geser sana geser sini,negative
Ajaib,di test buat penarikan widraw lama tidak sat set kaya exchange lain,neutral
Ajaib,tidak ada biaya tersembunyi buat nabung reksadana full transparan,neutral
Ajaib,biaya transaksi mahal saldo rdn masak harus nunggu sampai 3 hari jangan pakek aplikasi ini lagii parah memang aplikasi ini,negative
Ajaib,uang hasil jual saham bumi ku dari tanggal 13 ku jual terus keterangan nya cair tanggal 17 november dan belum ada cair cair gimana ni ajaib cair kan lah aku juga butuh uang nya,positive
Ajaib,penipu ulung,negative
Ajaib,real time sangat bagus,positive
Ajaib,tidak jelas sudah 3 hari deposit tapi saldo blm masuk tidak ada respon di pihak ajaib,negative
Ajaib,bagus buat pemula,positive
Ajaib,mau mencoba dulukalo memang bener baiksaya tambahin nya,positive
Ajaib,baru coba investasi disini jujur bagus buat pemula viturviturnya gampang dipahami,positive
Ajaib,jos dan luar biasa,positive
Ajaib,tolong dong tambahkan fitur untuk memfilter riwayat rdn untuk melihat dividen jadi kita tuh gampang kalau mau cek kita selama ini sudah dapat dividen berapa dari saham apa terimakasih,neutral
Ajaib,saya kasih bintang 1 dulu pertama kalkulasi hitungan pada pemotongan order tidak transparan potongan nya apa klo persen persentnya berapa contoh saya order rp1552000 open bgtu matched nya rp1131000 hilang 391000 potongan apa rp2970 admin giliran potongan admin transparan di tunjukin ke 2 penarikan rdn masih harus di potong juga tapi gpp normal hanya klo potongannya sudah banyak pencairan masih harus nunggu lama sekali beda pada sebelumnya,negative
Ajaib,mau isi data diri mala eror terus keluat http 04,negative
Ajaib,ajaib saham bikin kegiatan pantau saham jadi lebih enak karena tampilannya simple dan tidak bikin pusing informasi pasar selalu update dan transaksi berjalan lancar setiap kali buka aplikasinya aku merasa lebih siap menghadapi pergerakan harga yang cepat berubah,positive
Ajaib,bintang 1 kalau ada 0 mah ku kasih 0 deposit rekaning nasabah ke alpha lama banget sampai² kehilangan momentumcsnya juga bobrokk terutama maul mending pecat ganti ke lebih yang pro biar tau keseriusan masalah user,negative
