app_name,review_all,sentimen
Ajaib,verifikasi sulit sudah menghubungi customer service tapi jawaban yang diberikan asalasalan tidak membantu,negative
Ajaib,uang day trading tidak masuk,negative
Ajaib,ini tampilan trading kebanyakan iklan dipisah dong yang mana halaman watchlist yang mana halaman khusus berita dan iklan jadi banyak buang waktu geser sana geser sini,negative
Ajaib,biaya transaksi mahal saldo rdn masak harus nunggu sampai 3 hari jangan pakek aplikasi ini lagii parah memang aplikasi ini,negative
Ajaib,penipu ulung,negative
Ajaib,tidak jelas sudah 3 hari deposit tapi saldo blm masuk tidak ada respon di pihak ajaib,negative
Ajaib,saya kasih bintang 1 dulu pertama kalkulasi hitungan pada pemotongan order tidak transparan potongan nya apa klo persen persentnya berapa contoh saya order rp1552000 open bgtu matched nya rp1131000 hilang 391000 potongan apa rp2970 admin giliran potongan admin transparan di tunjukin ke 2 penarikan rdn masih harus di potong juga tapi gpp normal hanya klo potongannya sudah banyak pencairan masih harus nunggu lama sekali beda pada sebelumnya,negative
Ajaib,mau isi data diri mala eror terus keluat http 04,negative
Ajaib,bintang 1 kalau ada 0 mah ku kasih 0 deposit rekaning nasabah ke alpha lama banget sampai² kehilangan momentumcsnya juga bobrokk terutama maul mending pecat ganti ke lebih yang pro biar tau keseriusan masalah user,negative
Ajaib,manipulasi harga,negative
Ajaib,sangat buruk saya depo pakai dana bisa giliran mau wd ke dana ternyata tidak bisa wd nya ke bca trus bank penerima bca mau saya ganti ke dana saja ternyata tidak bisa diganti keterangan nya untuk pemilik rdn bca pastikan rekening barumu tetap berasal berasal dari bank bca agar perubahan tetap di setujui padahal bca saya sudah tidak bisa dipakai dan sudah malas pakai rekening bca mau di ganti malah tidak bisa sungguh aneh ajaib sungguh tidak recommended ajaib,negative
Ajaib,buruk punyaku tidak bisa ganti akun penerima dana padahal yang laen bisa ribet enakan tokocripto tidak seribet ajaib,negative
Ajaib,iya ribet banget ngurus akun saja pantesan bintang 40 orang ribet kayak gini gimana orang mau pakai dan percaya sma aplikasinya kalau sistem kyk gini,negative
Ajaib,hati2 kena jebakan batman paylater ajaib pakai future itu bisa jadi hutang nanti setelah rugi hutang datanya dihapus diajarin historinya,negative
Ajaib,fitur bantuan ajaib tidak bisa di akses alias blank saat di klik ini sangat berbahaya karena disini transaksi keuangan dan bisa merugikan investor ini melanggar aturan saya akan laporkan purbaya,negative
Ajaib,transaksi penjualan reksadana berhasil tapi ada satu nyantol sudah ada keterangan berhasil tapi dana tidak masuk ke rdn aku komplain ke siapa ini tolong dibantu dong cs nya yang helpful 200rb an itu juga uang,negative
Ajaib,biaya fee nya mahal banget gila,negative
Ajaib,kirim e wallet gagal tapi saldo tidak ada,negative
Ajaib,aplikasi tolol sumpah jangan instal aplikasi ini cuma penipuan maling doang kerjanya,negative
